MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87904	Actb	actin, beta	5		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:87904	Actb	actin, beta	5		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1861453	Actl6a	actin-like 6A	3		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1861453	Actl6a	actin-like 6A	3		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1933548	Actl6b	actin-like 6B	5		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		somatic stem cell population maintenance	happens in intestine		IGI	MGI:104642 	J:1879 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		somatic stem cell population maintenance	happens in intestine		IMP	MGI:1856318 	J:1879 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		somatic stem cell population maintenance	happens in bone marrow		IMP	MGI:1857966 	J:138809 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		stem cell population maintenance	happens in bone marrow		IMP	MGI:1857966 	J:138809 	
MGI:1935147	Arid1a	AT-rich interaction domain 1A	4		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1935147	Arid1a	AT-rich interaction domain 1A	4		stem cell population maintenance			IMP	MGI:3796520 	J:134633 	
MGI:2444354	Arid4a	AT-rich interaction domain 4A	12		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:2444354	Arid4a	AT-rich interaction domain 4A	12		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:2137512	Arid4b	AT-rich interaction domain 4B	13		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:2137512	Arid4b	AT-rich interaction domain 4B	13		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn		IMP	MGI:3846671 	J:148715 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		stem cell population maintenance	is a part of intestinal crypt stem cell		IMP		J:224020 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		neuronal stem cell population maintenance			IMP		J:154024 	
MGI:1924295	Bcl7a	B cell CLL/lymphoma 7A	5		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1924295	Bcl7a	B cell CLL/lymphoma 7A	5		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1332238	Bcl7b	B cell CLL/lymphoma 7B	5		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1332238	Bcl7b	B cell CLL/lymphoma 7B	5		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1332237	Bcl7c	B cell CLL/lymphoma 7C	7		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1332237	Bcl7c	B cell CLL/lymphoma 7C	7		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:1924828	Bcl9	B cell CLL/lymphoma 9	3		somatic stem cell population maintenance	happens in intestine epithelium		IGI	MGI:1933114 	J:162762 	
MGI:1933114	Bcl9l	B cell CLL/lymphoma 9-like	9		somatic stem cell population maintenance	happens in intestine epithelium		IGI	MGI:1924828 	J:162762 	
MGI:2154263	Bicra	BRD4 interacting chromatin remodeling complex associated protein	7		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:2673855	Bicral	BRD4 interacting chromatin remodeling complex associated protein like	17		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis	negatively regulates mesenchymal cell apoptotic process involved in nephron morphogenesis		IMP	MGI:1857654 	J:39018 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		somatic stem cell population maintenance			IMP	MGI:2158342 	J:124681 	
MGI:88190	Braf	Braf transforming gene	6		somatic stem cell population maintenance			IGI	MGI:97847 	J:196225 	
MGI:2145317	Brd9	bromodomain containing 9	13		positive regulation of stem cell population maintenance			NAS		J:268334 	
MGI:2388804	Brms1	breast cancer metastasis-suppressor 1	19		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:2388804	Brms1	breast cancer metastasis-suppressor 1	19		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1196337	Brms1l	breast cancer metastasis-suppressor 1-like	12		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1196337	Brms1l	breast cancer metastasis-suppressor 1-like	12		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:2384876	Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component	1		stem cell population maintenance			IMP		J:149841 	
MGI:88355	Cdh2	cadherin 2	18		neuronal stem cell population maintenance			IDA		J:213556 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		somatic stem cell population maintenance	happens in telencephalon		IGI	MGI:101761 	J:144068 	
MGI:88361	Cdx2	caudal type homeobox 2	5		somatic stem cell population maintenance	happens in trophectoderm		IMP	MGI:1857928 	J:162675 	
MGI:88361	Cdx2	caudal type homeobox 2	5		somatic stem cell population maintenance			IMP		J:104800 	
MGI:2442402	Cnot1	CCR4-NOT transcription complex, subunit 1	8		regulation of stem cell population maintenance			IMP		J:196241 	
MGI:2442402	Cnot1	CCR4-NOT transcription complex, subunit 1	8		regulation of stem cell population maintenance			ISO	A5YKK6 	J:164563 	
MGI:1919318	Cnot2	CCR4-NOT transcription complex, subunit 2	10		regulation of stem cell population maintenance			IBA	MGI:1919318 PTN000595688 Q9NZN8 	J:161428 	
MGI:1919318	Cnot2	CCR4-NOT transcription complex, subunit 2	10		regulation of stem cell population maintenance			IMP		J:196241 	
MGI:1919318	Cnot2	CCR4-NOT transcription complex, subunit 2	10		regulation of stem cell population maintenance			ISO	Q9NZN8 	J:164563 	
MGI:2385261	Cnot3	CCR4-NOT transcription complex, subunit 3	7		regulation of stem cell population maintenance			IBA	MGI:2385261 O75175 PTN000595760 	J:161428 	
MGI:2385261	Cnot3	CCR4-NOT transcription complex, subunit 3	7		regulation of stem cell population maintenance			IMP		J:196241 	
MGI:2385261	Cnot3	CCR4-NOT transcription complex, subunit 3	7		regulation of stem cell population maintenance			ISO	O75175 	J:164563 	
MGI:1098280	Crebbp	CREB binding protein	16		germ-line stem cell population maintenance			IMP	MGI:2177588 MGI:3618462 	J:127542 	
MGI:2451355	Crxos	cone-rod homeobox, opposite strand	7		stem cell population maintenance		PR:Q3UL53-2	IDA		J:159743 	
MGI:2451355	Crxos	cone-rod homeobox, opposite strand	7		stem cell population maintenance		PR:Q3UL53-2	IDA		J:345167 	
MGI:2451355	Crxos	cone-rod homeobox, opposite strand	7		stem cell population maintenance		PR:Q3UL53-3	IDA		J:345436 	
MGI:2451355	Crxos	cone-rod homeobox, opposite strand	7		stem cell population maintenance		PR:Q3UL53-3	IDA		J:345442 	
MGI:2451355	Crxos	cone-rod homeobox, opposite strand	7		stem cell population maintenance		PR:Q3UL53-2	IDA		J:345779 	
MGI:109345	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	7		stem cell population maintenance			IMP		J:149841 	
MGI:109345	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	7		stem cell population maintenance			ISO	Q6PD62 	J:164563 	
MGI:1914487	Cul4a	cullin 4A	8		somatic stem cell population maintenance			IMP	MGI:2183544 	J:147012 	
MGI:104976	Ddx6	DEAD-box helicase 6	9		stem cell population maintenance	happens in cerebral cortex		IMP		J:217461 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		stem cell population maintenance	happens in embryo		IMP	MGI:2681012 	J:86391 	
MGI:2442555	Dis3l2	DIS3 like 3'-5' exoribonuclease 2	1		stem cell population maintenance			IMP		J:197683 	
MGI:104659	Dll1	delta like canonical Notch ligand 1	17		neuronal stem cell population maintenance			IMP		J:224724 	
MGI:109529	Dpf2	double PHD fingers 2	19		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:2157523	Dppa2	developmental pluripotency associated 2	16		stem cell population maintenance			IMP		J:168186 	
MGI:95305	Eif4e	eukaryotic translation initiation factor 4E	3		stem cell population maintenance			IGI	MGI:1921453 	J:217461 	
MGI:95305	Eif4e	eukaryotic translation initiation factor 4E	3		stem cell population maintenance			IMP		J:217461 	
MGI:1921453	Eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1	11		stem cell population maintenance	happens in cerebral cortex		IGI	MGI:95305 	J:217461 	
MGI:1100851	Elavl1	ELAV like RNA binding protein 1	8		regulation of stem cell population maintenance			IMP		J:207885 	
MGI:1335079	Elf5	E74-like factor 5	2		somatic stem cell population maintenance	happens in trophectoderm		IMP		J:214999 	
MGI:1201683	Eomes	eomesodermin	9		stem cell population maintenance			IMP		J:160495 	
MGI:2384747	Erdr1x	erythroid differentiation regulator 1 x	XY		somatic stem cell population maintenance			IDA		J:150463 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		positive regulation of stem cell population maintenance			IDA		J:193651 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		positive regulation of stem cell population maintenance			IDA		J:240260 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		positive regulation of stem cell population maintenance			IMP		J:188268 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		positive regulation of stem cell population maintenance			IMP		J:240583 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		somatic stem cell population maintenance			IMP		J:107560 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		somatic stem cell population maintenance			IMP		J:111554 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		stem cell population maintenance			IDA		J:240273 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		stem cell population maintenance			IMP		J:240259 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		stem cell population maintenance			ISO	O95718 	J:164563 	
MGI:95480	Fancc	Fanconi anemia, complementation group C	13		neuronal stem cell population maintenance	happens in brain subventricular zone,happens in brain ventricular layer		IGI	MGI:1890081 	J:226736 	
MGI:2448480	Fancd2	Fanconi anemia, complementation group D2	6		neuronal stem cell population maintenance	happens in brain ventricular layer,happens in brain subventricular zone		IGI	MGI:1890081 	J:226736 	
MGI:95518	Fgf4	fibroblast growth factor 4	7		somatic stem cell population maintenance			IGI	MGI:97359 	J:92446 	
MGI:95518	Fgf4	fibroblast growth factor 4	7		stem cell population maintenance			IGI	MGI:97359 	J:92446 	
MGI:1099809	Fgf10	fibroblast growth factor 10	13		somatic stem cell population maintenance	happens in lower jaw incisor enamel organ		IMP	MGI:1859647 	J:74912 	
MGI:95522	Fgfr1	fibroblast growth factor receptor 1	8		stem cell population maintenance			ISO	RGD:620713 	J:155856 	
MGI:95524	Fgfr3	fibroblast growth factor receptor 3	5		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn		IMP	MGI:1931521 	J:151194 	
MGI:1890077	Foxo1	forkhead box O1	3		neuronal stem cell population maintenance	happens in brain subventricular zone		IGI	MGI:1890081 	J:154024 	
MGI:1890081	Foxo3	forkhead box O3	10		neuronal stem cell population maintenance	happens in brain subventricular zone		IGI	MGI:1890077 	J:154024 	
MGI:1890081	Foxo3	forkhead box O3	10		neuronal stem cell population maintenance	happens in brain ventricular layer,happens in brain subventricular zone		IGI	MGI:2448480 MGI:95480 	J:226736 	
