gene_name,cell_type,ubiquitousness,sensitivity_mouse,specificity_mouse
MYC,Embryonic stem cells,0.047,0.0,0.0331321
FOXD3,Embryonic stem cells,0.0,0.0,0.000449467
POU5F1,Embryonic stem cells,0.003,0.909091,0.00192629
FUT4,Embryonic stem cells,0.001,0.0,0.000706305
ITGA4,Embryonic stem cells,0.036,0.0,0.0412868
CDH1,Embryonic stem cells,0.056,1.0,0.0565686
ABCG2,Embryonic stem cells,0.038,0.181818,0.0466162
PODXL,Embryonic stem cells,0.04,0.0,0.0398099
ZIC1,Embryonic stem cells,0.046,0.0,0.0
PRDM5,Embryonic stem cells,0.001,0.0,0.000192629
ANO6,Embryonic stem cells,0.012,0.0,0.0130345
CDK8,Embryonic stem cells,0.009,0.0,0.00988828
SLC46A2,Embryonic stem cells,0.002,0.0,0.0
ZSCAN10,Embryonic stem cells,0.0,0.0,0.0
KCNIP3,Embryonic stem cells,0.007,0.0,0.00879671
PCGF2,Embryonic stem cells,0.005,0.909091,0.00186208
NANOG,Embryonic stem cells,0.002,1.0,0.00147682
GAL,Embryonic stem cells,0.014,0.0,0.0112367
PITX2,Embryonic stem cells,0.01,0.0909091,0.00860408
BCL3,Embryonic stem cells,0.012,0.636364,0.0127777
SALL4,Embryonic stem cells,0.015,0.0,0.0
DPPA5A,Embryonic stem cells,0.013,1.0,0.0128419
TDGF1,Embryonic stem cells,0.007,0.0,0.0
HOXB5,Embryonic stem cells,0.003,0.0,0.00237575
SUMO2,Embryonic stem cells,0.163,0.0,0.0
BNIP3,Embryonic stem cells,0.042,0.0909091,0.00661359
GJC1,Embryonic stem cells,0.026,1.0,0.0290869
TRIM6,Embryonic stem cells,0.006,0.0,0.0
PUM2,Embryonic stem cells,0.094,1.0,0.113458
GJB4,Embryonic stem cells,0.003,0.0,0.00378837
SOX15,Embryonic stem cells,0.003,0.0,0.0
UTF1,Embryonic stem cells,0.0,0.0,0.0
GJB1,Embryonic stem cells,0.033,0.0,0.0384615
LMNA,Embryonic stem cells,0.201,0.0909091,0.167266
FBXO15,Embryonic stem cells,0.005,1.0,0.00231154
PML,Embryonic stem cells,0.007,1.0,0.00590728
THY1,Embryonic stem cells,0.095,0.0,0.0
KIT,Embryonic stem cells,0.015,0.909091,0.0179145
EPCAM,Embryonic stem cells,0.117,0.818182,0.103698
CD9,Embryonic stem cells,0.344,1.0,0.365738
ITGB1,Embryonic stem cells,0.276,0.818182,0.301657
PROM1,Embryonic stem cells,0.021,0.0,0.024207
PECAM1,Embryonic stem cells,0.051,0.545455,0.0531655
ITGA6,Embryonic stem cells,0.059,1.0,0.0609349
FZD1,Embryonic stem cells,0.01,0.0,0.012264
SOX2,Embryonic stem cells,0.082,0.0,0.0
KLF4,Embryonic stem cells,0.126,1.0,0.126878
ZFP42,Embryonic stem cells,0.006,0.0,0.0
ZFX,Embryonic stem cells,0.006,0.0,0.0
TAF8,Embryonic stem cells,0.001,0.0,0.0
HMGA2,Embryonic stem cells,0.038,0.454545,0.0274817
NACC1,Embryonic stem cells,0.01,1.0,0.0108514
NR6A1,Embryonic stem cells,0.017,0.272727,0.00410941
STAT3,Embryonic stem cells,0.099,0.0,0.0
LEF1,Embryonic stem cells,0.025,0.0,0.0278027
L1TD1,Embryonic stem cells,0.011,0.909091,0.0060357
GDF3,Embryonic stem cells,0.003,1.0,0.00224734
DPPA4,Embryonic stem cells,0.007,1.0,0.00327469
DPPA2,Embryonic stem cells,0.003,0.909091,0.00192629
DPPA3,Embryonic stem cells,0.002,0.363636,0.00173366
SMAD1,Embryonic stem cells,0.036,0.0,0.0
SMAD5,Embryonic stem cells,0.019,0.0,0.0
SMAD9,Embryonic stem cells,0.002,0.0,0.0
SMAD4,Embryonic stem cells,0.018,0.0,0.0
SMAD2,Embryonic stem cells,0.024,0.0,0.0
SMAD3,Embryonic stem cells,0.008,0.0,0.0
CTNNB1,Embryonic stem cells,0.052,0.0,0.0114293
HHEX,Embryonic stem cells,0.037,0.363636,0.0393605
HES1,Embryonic stem cells,0.129,0.909091,0.127071
ESRRB,Embryonic stem cells,0.002,1.0,0.00128419
DNMT3B,Embryonic stem cells,0.012,0.363636,0.0114293
TRIM28,Embryonic stem cells,0.18,0.0,0.0
PIWIL1,Embryonic stem cells,0.003,0.0,0.0013484
PIWIL2,Embryonic stem cells,0.005,0.0,0.0026968
PIWIL4,Embryonic stem cells,0.001,0.0,0.000256838
LIFR,Embryonic stem cells,0.042,0.363636,0.0461667
IL6ST,Embryonic stem cells,0.055,0.0,0.0477077
ZSCAN4D,Embryonic stem cells,0.0,,
PRMT8,Pluripotent stem cells,0.005,0.0,0.00564646
NCOA5,Pluripotent stem cells,0.003,0.0,0.00340071
TRIM32,Pluripotent stem cells,0.035,0.0,0.0
PRDM14,Pluripotent stem cells,0.0,0.0,0.000128329
FGF4,Pluripotent stem cells,0.002,0.0,0.00263073
NANOG,Pluripotent stem cells,0.002,0.0,0.00218158
POU5F1,Pluripotent stem cells,0.003,0.0,0.00256657
MSH2,Pluripotent stem cells,0.019,0.0,0.0190568
ZFP819,Pluripotent stem cells,0.0,,
GATA2,Pluripotent stem cells,0.02,0.0,0.0218158
ZFX,Pluripotent stem cells,0.006,0.0,0.0
TERF1,Pluripotent stem cells,0.034,0.0,0.0
TERT,Pluripotent stem cells,0.0,0.0,0.0
NAP1L1,Pluripotent stem cells,0.532,0.0,0.485916
SOX2,Pluripotent stem cells,0.082,0.0,0.0
ALPL,Pluripotent stem cells,0.009,0.0,0.0105229
HK2,Pluripotent stem cells,0.024,0.0,0.0275265
SPN,Pluripotent stem cells,0.029,0.0,0.0
ESRP1,Pluripotent stem cells,0.013,0.0,0.0119987
